DateTime, ElementId, ElementIndex, x, y, z, Temperature, UpstreamJunctionTemperature, DownstreamJunctionTemperature
0.0005324074074, 3, 3, 0.7, 0, 0, 1.18048557e+306, 6.86839944e+305, 4.185629055e+306
0.0005324074074, 4, 4, 0.9, 0, 0, 7.190772539e+306, 4.185629055e+306, 0
0.0005439814815, 0, 0, 0.1, 0, 0, 3.007584771e+303, 1, 1.678858891e+304
0.0005439814815, 1, 1, 0.3, 0, 0, 3.056959305e+304, 1.678858891e+304, 1.118819555e+305
0.0005439814815, 2, 2, 0.5, 0, 0, 1.93194318e+305, 1.118819555e+305, 6.86839944e+305
0.0005439814815, 3, 3, 0.7, 0, 0, 1.18048557e+306, 6.86839944e+305, 4.185629055e+306
0.0005439814815, 4, 4, 0.9, 0, 0, 7.190772539e+306, 4.185629055e+306, 0
0.0005555555556, 0, 0, 0.1, 0, 0, 3.007584771e+303, 1, 1.678858891e+304
0.0005555555556, 1, 1, 0.3, 0, 0, 3.056959305e+304, 1.678858891e+304, 1.118819555e+305
0.0005555555556, 2, 2, 0.5, 0, 0, 1.93194318e+305, 1.118819555e+305, 6.86839944e+305
0.0005555555556, 3, 3, 0.7, 0, 0, 1.18048557e+306, 6.86839944e+305, 4.185629055e+306
0.0005555555556, 4, 4, 0.9, 0, 0, 7.190772539e+306, 4.185629055e+306, 0
0.0005671296296, 0, 0, 0.1, 0, 0, 3.007584771e+303, 1, 1.678858891e+304
0.0005671296296, 1, 1, 0.3, 0, 0, 3.056959305e+304, 1.678858891e+304, 1.118819555e+305
0.0005671296296, 2, 2, 0.5, 0, 0, 1.93194318e+305, 1.118819555e+305, 6.86839944e+305
0.0005671296296, 3, 3, 0.7, 0, 0, 1.18048557e+306, 6.86839944e+305, 4.185629055e+306
0.0005671296296, 4, 4, 0.9, 0, 0, 7.190772539e+306, 4.185629055e+306, 0
0.0005787037037, 0, 0, 0.1, 0, 0, 3.007584771e+303, 1, 1.678858891e+304
0.0005787037037, 1, 1, 0.3, 0, 0, 3.056959305e+304, 1.678858891e+304, 1.118819555e+305
0.0005787037037, 2, 2, 0.5, 0, 0, 1.93194318e+305, 1.118819555e+305, 6.86839944e+305
0.0005787037037, 3, 3, 0.7, 0, 0, 1.18048557e+306, 6.86839944e+305, 4.185629055e+306
0.0005787037037, 4, 4, 0.9, 0, 0, 7.190772539e+306, 4.185629055e+306, 0
